Date,Open,High,Low,Close,Adj Close,Volume
2004-12-31,7250.060059,7250.060059,7250.060059,7250.060059,7250.060059,0
2005-01-03,null,null,null,null,null,null
2005-01-04,null,null,null,null,null,null
2005-01-05,null,null,null,null,null,null
2005-01-06,null,null,null,null,null,null
2005-01-07,null,null,null,null,null,null
2005-01-10,7081.700195,7081.700195,7081.700195,7081.700195,7081.700195,0
2005-01-11,7044.109863,7044.109863,7044.109863,7044.109863,7044.109863,0
2005-01-12,7075.640137,7075.640137,7075.640137,7075.640137,7075.640137,0
2005-01-13,7028.669922,7028.669922,7028.669922,7028.669922,7028.669922,0
2005-01-14,null,null,null,null,null,null
2005-01-18,null,null,null,null,null,null
2005-01-19,7059.270020,7059.270020,7059.270020,7059.270020,7059.270020,0
2005-01-20,7010.470215,7010.470215,7010.470215,7010.470215,7010.470215,0
2005-01-21,6996.560059,6996.560059,6996.560059,6996.560059,6996.560059,0
2005-01-24,null,null,null,null,null,null
2005-01-25,6998.640137,6998.640137,6998.640137,6998.640137,6998.640137,0
2005-01-26,7046.399902,7046.399902,7046.399902,7046.399902,7046.399902,0
2005-01-27,null,null,null,null,null,null
2005-01-28,null,null,null,null,null,null
2005-01-31,null,null,null,null,null,null
2005-02-01,7146.209961,7146.209961,7146.209961,7146.209961,7146.209961,0
2005-02-02,7169.390137,7169.390137,7169.390137,7169.390137,7169.390137,0
2005-02-03,7148.319824,7148.319824,7148.319824,7148.319824,7148.319824,0
2005-02-04,null,null,null,null,null,null
2005-02-07,7200.910156,7200.910156,7200.910156,7200.910156,7200.910156,0
2005-02-08,null,null,null,null,null,null
2005-02-09,7161.990234,7161.990234,7161.990234,7161.990234,7161.990234,0
2005-02-10,null,null,null,null,null,null
2005-02-11,7261.640137,7261.640137,7261.640137,7261.640137,7261.640137,0
2005-02-14,7280.370117,7280.370117,7280.370117,7280.370117,7280.370117,0
2005-02-15,null,null,null,null,null,null
2005-02-16,7306.759766,7306.759766,7306.759766,7306.759766,7306.759766,0
2005-02-17,null,null,null,null,null,null
2005-02-18,null,null,null,null,null,null
2005-02-22,null,null,null,null,null,null
2005-02-23,7243.279785,7243.279785,7243.279785,7243.279785,7243.279785,0
2005-02-24,7283.279785,7283.279785,7283.279785,7283.279785,7283.279785,0
2005-02-25,7361.890137,7361.890137,7361.890137,7361.890137,7361.890137,0
2005-02-28,7321.229980,7321.229980,7321.229980,7321.229980,7321.229980,0
2005-03-01,7351.029785,7351.029785,7351.029785,7351.029785,7351.029785,0
2005-03-02,7343.140137,7343.140137,7343.140137,7343.140137,7343.140137,0
2005-03-03,null,null,null,null,null,null
2005-03-04,7441.180176,7441.180176,7441.180176,7441.180176,7441.180176,0
2005-03-07,7440.310059,7440.310059,7440.310059,7440.310059,7440.310059,0
2005-03-08,7426.169922,7426.169922,7426.169922,7426.169922,7426.169922,0
2005-03-09,7354.740234,7354.740234,7354.740234,7354.740234,7354.740234,0
2005-03-10,null,null,null,null,null,null
2005-03-11,7330.430176,7330.430176,7330.430176,7330.430176,7330.430176,0
2005-03-14,null,null,null,null,null,null
2005-03-15,7310.410156,7310.410156,7310.410156,7310.410156,7310.410156,0
2005-03-16,null,null,null,null,null,null
2005-03-17,7284.310059,7284.310059,7284.310059,7284.310059,7284.310059,0
2005-03-18,null,null,null,null,null,null
2005-03-21,null,null,null,null,null,null
2005-03-22,7158.970215,7158.970215,7158.970215,7158.970215,7158.970215,0
2005-03-23,null,null,null,null,null,null
2005-03-24,7128.799805,7128.799805,7128.799805,7128.799805,7128.799805,0
2005-03-28,7131.520020,7131.520020,7131.520020,7131.520020,7131.520020,0
2005-03-29,7070.529785,7070.529785,7070.529785,7070.529785,7070.529785,0
2005-03-30,null,null,null,null,null,null
2005-03-31,null,null,null,null,null,null
2005-04-01,7136.359863,7136.359863,7136.359863,7136.359863,7136.359863,0
2005-04-04,null,null,null,null,null,null
2005-04-05,null,null,null,null,null,null
2005-04-06,7191.180176,7191.180176,7191.180176,7191.180176,7191.180176,0
2005-04-07,null,null,null,null,null,null
2005-04-08,7181.500000,7181.500000,7181.500000,7181.500000,7181.500000,0
2005-04-11,null,null,null,null,null,null
2005-04-12,7208.040039,7208.040039,7208.040039,7208.040039,7208.040039,0
2005-04-13,null,null,null,null,null,null
2005-04-14,7063.740234,7063.740234,7063.740234,7063.740234,7063.740234,0
2005-04-15,6958.350098,6958.350098,6958.350098,6958.350098,6958.350098,0
2005-04-18,6969.089844,6969.089844,6969.089844,6969.089844,6969.089844,0
2005-04-19,7030.740234,7030.740234,7030.740234,7030.740234,7030.740234,0
2005-04-20,null,null,null,null,null,null
2005-04-21,null,null,null,null,null,null
2005-04-22,null,null,null,null,null,null
